technique,k,model,cv_f1_mean,cv_f1_std
PCA (99% var),37,LogisticRegression,0.8148185681595292,0.05099501215501099
SelectKBest,7,KNN,0.8140250073664117,0.0532661925038442
RFE,40,XGBoost,0.813066045066045,0.07586814883573707
SelectKBest,15,NaiveBayes,0.8127555686215698,0.03478303211307694
RFE,7,XGBoost,0.8125196132092682,0.03380720484957192
SelectKBest,10,XGBoost,0.812427533480165,0.06605713059830419
SelectKBest,40,SVM,0.8103756423623238,0.06208059421304467
RFE,40,RandomForest,0.8096729708431836,0.05263146806985731
SelectKBest,20,NaiveBayes,0.808940355300912,0.025732719845129454
SelectKBest,10,KNN,0.8086482640166851,0.06211493133452284
RFE,15,XGBoost,0.8073922902494332,0.06217017186557387
SelectKBest,40,XGBoost,0.8070060665016918,0.09297400630673021
RFE,7,KNN,0.8067209690893902,0.02702578961550118
RFE,20,XGBoost,0.8061231546640537,0.06246659549265479
SelectKBest,3,NaiveBayes,0.8049004571865723,0.07047331438118537
RFE,5,KNN,0.8027872898851495,0.060147141951389156
RFE,20,RandomForest,0.8025749015579524,0.06370016207327082
RFE,7,NaiveBayes,0.8022060079810469,0.04174813093938111
SelectKBest,5,RandomForest,0.8012078273918407,0.0277061516684224
SelectKBest,7,DecisionTree,0.8005213939417561,0.029115369273231866
SelectKBest,15,XGBoost,0.8001304759531831,0.06934702255633814
Full features (baseline),41,SVM,0.7980141810869573,0.06623277615639751
SelectKBest,3,SVM,0.7974360142781196,0.06348102318960018
PCA (95% var),33,SVM,0.7972555746140652,0.0701856946527538
PCA (90% var),29,SVM,0.7967808711204938,0.07089252346417964
RFE,40,SVM,0.7952574246072699,0.05250851719142533
SelectKBest,3,LogisticRegression,0.7949880140143831,0.06844326462041547
PCA (99% var),37,SVM,0.793704416777193,0.06426914254683708
SelectKBest,20,XGBoost,0.7912122481269487,0.07749654182941733
SelectKBest,5,XGBoost,0.7898673035089439,0.022015680445841825
SelectKBest,40,KNN,0.7876295690125477,0.058622604945717985
SelectKBest,3,KNN,0.7850196920873612,0.06232891218638902
RFE,5,RandomForest,0.7840240336373214,0.08026310379934967
SelectKBest,10,DecisionTree,0.7818594104308391,0.07242454257585344
RFE,10,NaiveBayes,0.7787868906455863,0.034253047367432975
RFE,7,DecisionTree,0.7781755056479893,0.05142347360521695
PCA (90% var),29,KNN,0.7775226900758816,0.05564482651079321
RFE,5,NaiveBayes,0.7766895757989198,0.05060109912735428
SelectKBest,2,NaiveBayes,0.7766239014849383,0.08252429234739901
RFE,3,SVM,0.7738135045031596,0.07672537065332599
RFE,3,NaiveBayes,0.773496066178437,0.07051122245049544
RFE,40,KNN,0.773190112559669,0.0647448734621831
RFE,10,DecisionTree,0.7708597033055237,0.046983334274910325
SelectKBest,2,SVM,0.7695131328540941,0.08392753171905747
PCA (90% var),29,XGBoost,0.7690942724442269,0.04783578338760308
RFE,5,XGBoost,0.7684142159422824,0.05479500705142624
RFE,20,KNN,0.7679039062670776,0.07056458867753208
RFE,15,KNN,0.7666264980094767,0.05479599243070288
PCA (99% var),37,XGBoost,0.7657307265881245,0.04643213379283121
Full features (baseline),41,KNN,0.7649144481137918,0.06835657468730043
PCA (99% var),37,KNN,0.7649144481137918,0.06835657468730043
RFE,15,NaiveBayes,0.7619038122544435,0.04359875587394196
PCA (95% var),33,KNN,0.760994442894521,0.057604844623231226
RFE,3,LogisticRegression,0.76,0.08076168014344327
SelectKBest,2,LogisticRegression,0.7598594532004143,0.0956071209325872
RFE,2,SVM,0.7584079836870871,0.06946431175561366
PCA (90% var),29,RandomForest,0.7553435867100464,0.03461950697383361
RFE,3,KNN,0.7545636838427305,0.10279093630471484
